4,6
7,8
7,6
9,8
9,6
10,6
11,8
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,8
22,6
23,8
23,24
23,6
25,6
26,6
28,8
28,6
29,6
30,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
41,6
42,6
43,8
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
52,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
63,6
64,6
66,6
67,6
68,6
69,6
70,6
72,6
73,6
74,6
74,8
75,6
75,8
76,6
76,8
77,6
77,8
78,6
78,8
79,6
79,8
80,6
80,8
81,6
82,6
82,8
83,6
83,8
84,6
84,8
85,6
85,8
86,6
86,8
87,8
88,6
88,8
89,6
89,8
90,8
91,6
91,8
92,6
92,8
93,6
93,8
94,6
94,8
95,6
95,8
96,6
96,8
97,6
98,6
98,8
99,6
99,8
100,6
101,6
101,8
102,6
102,8
103,6
103,8
104,6
104,8
105,6
105,8
106,6
106,8
107,6
107,8
108,6
108,8
109,6
109,8
110,6
110,8
111,6
111,8
112,6
112,8
113,6
113,8
115,6
115,8
116,6
117,6
118,6
118,8
119,6
119,8
120,6
120,8
121,6
121,8
122,6
122,8
123,6
123,8
124,6
124,8
125,24
126,6
126,8
127,6
127,8
128,6
128,8
129,6
129,8
130,6
130,8
131,6
131,8
132,6
132,8
133,6
133,8
134,6
134,8
135,6
135,8
136,8
137,6
137,8
138,6
138,8
138,24
139,6
139,8
140,6
140,8
141,6
141,8
142,6
142,8
143,6
143,8
144,8
145,6
145,8
146,6
146,8
147,6
148,6
148,8
149,6
149,8
150,6
150,8
151,6
152,6
152,8
153,6
153,8
154,6
154,8
155,6
155,8
156,8
157,6
157,8
158,6
158,8
159,6
159,8
160,6
160,8
161,6
161,8
162,6
162,8
163,6
163,8
164,6
164,8
165,6
166,6
166,8
167,6
167,8
168,6
168,8
169,6
169,8
170,6
170,8
171,6
171,24
172,6
172,8
173,8
174,6
174,8
175,6
175,8
176,6
176,8
176,24
177,6
177,8
178,6
178,8
179,6
179,8
180,6
180,8
181,6
181,8
182,6
182,8
183,6
183,8
184,6
184,8
185,6
185,8
186,6
186,8
187,6
187,8
188,6
188,8
189,6
189,8
190,6
190,8
191,6
191,8
192,6
192,8
192,24
193,6
193,8
194,6
194,8
195,6
195,8
196,8
196,24
197,6
197,8
198,6
198,8
199,6
199,8
200,6
200,8
201,6
203,6
204,6
204,8
205,6
205,8
206,6
206,8
207,6
208,6
208,8
209,6
209,8
210,8
210,6
211,6
212,8
212,6
213,6
213,8
214,6
214,8
215,8
215,6
216,6
217,6
218,6
218,8
219,6
220,8
220,6
221,8
222,6
223,6
223,8
224,6
225,8
225,6
226,8
226,6
227,6
228,8
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,8
239,6
240,8
240,24
240,6
241,6
242,6
244,8
244,6
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
255,6
256,6
257,8
257,6
258,6
259,6
260,6
262,6
263,6
264,6
266,6
267,6
268,6
269,6
270,6
271,6
272,6
273,6
274,6
276,6
277,6
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,6
286,8
287,6
287,8
288,6
288,8
289,6
289,8
290,6
290,8
291,6
291,8
292,6
292,8
293,6
294,6
294,8
295,6
295,8
296,6
296,8
297,6
297,8
298,6
298,8
299,8
300,6
300,8
301,6
301,8
302,8
303,6
303,8
304,6
304,8
305,6
305,8
306,6
306,8
307,6
307,8
308,6
308,8
309,6
310,6
310,8
311,6
311,8
312,6
313,6
313,8
314,6
314,8
315,6
315,8
316,6
316,8
317,6
317,8
318,6
318,8
319,6
319,8
320,6
320,8
321,6
321,8
322,6
322,8
323,6
323,8
324,6
324,8
325,6
325,8
326,6
326,8
327,6
328,6
329,6
329,8
330,6
330,8
331,6
331,8
332,6
332,8
333,6
333,8
334,6
334,8
335,6
335,8
336,24
337,6
337,8
338,6
338,8
339,6
339,8
340,6
340,8
341,6
341,8
342,6
342,8
343,6
343,8
344,6
344,8
345,6
345,8
346,6
346,8
347,8
348,6
348,8
349,6
349,8
349,24
350,6
350,8
351,6
351,8
352,6
352,8
353,6
353,8
354,6
354,8
355,8
356,6
356,8
357,6
357,8
358,6
359,6
359,8
360,6
360,8
361,6
361,8
362,6
363,6
363,8
364,6
364,8
365,6
365,8
366,6
366,8
367,8
368,6
368,8
369,6
369,8
370,6
370,8
371,6
371,8
372,6
372,8
373,6
373,8
374,6
374,8
375,6
375,8
376,6
377,6
377,8
378,6
378,8
379,6
379,8
380,6
380,8
381,6
381,8
382,6
382,24
383,6
383,8
384,8
385,6
385,8
386,6
386,8
387,6
387,8
387,24
388,6
388,8
389,6
389,8
390,6
390,8
391,6
391,8
392,6
392,8
393,6
393,8
394,6
394,8
395,6
395,8
396,6
396,8
397,6
397,8
398,6
398,8
399,6
399,8
400,6
400,8
401,6
401,8
402,6
402,8
403,6
403,8
403,24
404,6
404,8
405,6
405,8
406,6
406,8
407,8
407,24
408,6
408,8
409,6
409,8
410,6
410,8
411,6
411,8
412,6
413,6
414,6
414,8
415,6
415,8
416,6
416,8
417,6
418,6
418,8
419,6
419,8
420,8
420,6
421,6
422,8
422,6
423,6
423,8
424,6
424,8
425,8
425,6
426,6
427,6
428,6
428,8
429,6
430,8
430,6
431,8
432,6
433,6
433,8
